Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-02-25,36.49687576293945,55.99664306640625,14.039368629455566,41.66011428833008,31.05243492126465,30.724369049072266,27.55890464782715,48.835792541503906,57.66902542114258
2014-02-26,36.77335739135742,55.64534378051758,14.019787788391113,41.70048141479492,31.078323364257812,30.69504165649414,27.47022247314453,48.835792541503906,57.99269485473633
2014-02-27,37.06565475463867,55.70280838012695,14.091581344604492,41.94263458251953,31.32852554321289,30.834318161010742,27.402015686035156,49.116737365722656,58.228851318359375
2014-02-28,37.19204330444336,55.98384475708008,14.163374900817871,42.02335739135742,31.363059997558594,31.046932220458984,27.593017578125,49.116737365722656,58.46501541137695
2014-03-03,37.105167388916016,55.626163482666016,14.05241870880127,41.74082946777344,31.02655601501465,30.87830352783203,27.320148468017578,48.75313949584961,57.91394805908203
2014-03-04,37.68974304199219,56.23295974731445,14.33960247039795,42.346248626708984,31.432069778442383,31.296184539794922,27.517976760864258,49.67863845825195,58.639957427978516
2014-03-05,37.77662658691406,55.709197998046875,14.489720344543457,42.402740478515625,31.475217819213867,31.193553924560547,27.333797454833984,49.5546989440918,58.884891510009766
2014-03-06,37.918827056884766,56.11161804199219,14.535407066345215,42.6449089050293,31.51836585998535,31.186214447021484,27.197370529174805,49.24894714355469,59.0335693359375
2014-03-07,37.75294494628906,56.22016525268555,14.600680351257324,42.78213119506836,31.42344856262207,31.27419090270996,27.279224395751953,49.125,58.94611740112305
2014-03-10,37.721336364746094,56.30960464477539,14.607208251953125,42.59647750854492,31.371681213378906,31.303510665893555,27.21099853515625,49.33159255981445,58.788658142089844
2014-03-11,37.334259033203125,55.67087173461914,14.509299278259277,42.289730072021484,31.30265998840332,31.288841247558594,27.135974884033203,49.2324333190918,58.447513580322266
2014-03-12,37.31845474243164,55.6772575378418,14.483198165893555,42.20900344848633,31.35443115234375,31.354825973510742,27.477041244506836,49.224151611328125,58.36004638671875
2014-03-13,37.049869537353516,55.12157440185547,14.32001781463623,41.6116828918457,30.931636810302734,31.200885772705078,27.7635498046875,48.55483627319336,57.65154266357422
